id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
4958,100-10,Gordon Pl,6,C,722,6,3,580,2213,1450,Cambridgeport,2.5,0.66,2213.0,73.79,-71.1135079205,42.3578184588
2089,100-11,Gordon Pl,7,C,722,8,4,832,2783,1809,Cambridgeport,2.5,0.65,2783.0,70.1,-71.1134602478,42.3576133264
3859,100-12,Gordon Pl,5,C,722,7,3,794,2398,1783,Cambridgeport,2.25,0.74,2398.0,66.89,-71.1133862371,42.3577508397
3811,100-13,Gordon Pl,3,C,722,10,3,935,2398,1852,Cambridgeport,2.0,0.77,1199.0,61.01,-71.1133109782,42.3578349491
1621,100-14,Gordon Pl,1,C,722,8,4,923,2398,2019,Cambridgeport,2.25,0.84,2398.0,61.51,-71.1132087904,42.3579172978
6861,100-15,Florence St,6,C,722,8,5,775,2367,1945,Cambridgeport,2.5,0.82,2367.0,67.26,-71.1130838622,42.3580833345
6104,100-16,Florence St,4,C,722,7,4,708,2449,1662,Cambridgeport,2.75,0.68,2449.0,71.09,-71.1129559405,42.3579879804
5647,100-17,Magazine St,155,C,722,10,3,1074,4500,2304,Cambridgeport,2.0,0.51,4500.0,76.13,-71.1127448352,42.3577935025
7222,100-18,Magazine St,159,C,722,13,6,1244,3600,2914,Cambridgeport,2.5,0.81,1800.0,65.44,-71.1128412421,42.3577456167
639,100-19,Magazine St,163,C,722,13,4,1227,4500,2951,Cambridgeport,2.5,0.66,2250.0,72.73,-71.112919286,42.3576458502
6946,100-20,Magazine St,167,C,722,13,7,1331,3600,3309,Cambridgeport,2.5,0.92,1800.0,63.03,-71.1130354563,42.3575438342
8586,100-21,Magazine St,171,C,722,12,4,1066,4229,2309,Cambridgeport,2.5,0.55,2114.5,74.79,-71.1131419507,42.3574671945
